,Unnamed: 0,text,label
2625,2625,"Mexicanas ya no podrán concursar en el ""Miss Universo"" por órdenes de Donald Trump
México.- Paula Shugart, directora del certamen ""Miss Universo"", citó a los medios a una conferencia de prensa para anunciar que las mujeres mexicanas ya no podrán participar en el famoso concurso de belleza a partir del próximo año.
Shugart reveló que fue el dueño del certamen, Donald Trump, quien dio la orden directa de prohibir que las mujeres mexicanas concursen en el certamen luego de que se desatara una fuerte polémica por declarar que la mayoría de los mexicanos son violadores, drogadictos y delincuentes:
""El señor Trump me citó la tarde de ayer para informarme su decisión de que las mujeres mexicanas ya no podrían participar, no porque piense que son menos bellas que el resto de las mujeres del mundo, sino porque considera que su relación con México esta bastante dañada y no es conveniente que las representes de dicho país sigan participando en su concurso. Llegó a la conclusión de que será muy incómodo ver a una representante mexicana peleando por ser Miss Universo luego de las declaraciones que dio. Aprovecho para dejar en claro que el señor Trump no se arrepiente de nada de lo que dijo"", comentó.
La directora menciona que le parece lamentable que los medios no retomen las palabras exactas de Donald y solo hagan énfasis en ""lo malo"" de su discurso:
""El señor Trump efectivamente declaró que muchos mexicanos eran unos criminales, pero también hizo énfasis en que había unos cuantos que eran buenos. Sus declaraciones se pueden ver en distintos medios (incluyendo el internet), ahí la gente se puede dar cuenta que él no condenó a todos los mexicanos, sin embargo las personas se empeñan en hacerlo quedar mal"", dijo.
Paula señaló que Donald decidió romper todas las relaciones con nuestro país ""por la paz"" para evitar más conflictos:
""Él quedó muy contento con el trabajo de Ximena Navarrete y Lupita Jones, las únicas mexicanas que ganaron el certamen. Donald lamenta que sus declaraciones hayan sido malinterpretadas, aunque cree que la mayoría de los mexicanos son delincuentes también ha conocido varios muy honrados y profesionales, como Lupita y Ximena. Quedó muy contento con ellas pero prefiere romper definitivamente todo tipo de relaciones con México y por eso decidió que ya no habrá más representantes de dicho país en el Miss Universo, con el fin de evitar más conflictos"", puntualizó.",1
1865,1865,"Una bloguera feminista estadounidense, admitió en su sitio web que había abortado a su feto después de enterarse de que sería un varón. Según la mujer basó su decisión en las malas experiencias que había tenido en el pasado con los hombres. La autora del ",0
458,458,"Hoy en día, según el National Cancer Institute, ""varios estudios demográficos muestran que existe una relación entre el aumento del consumo de ajo y una reducción en el riesgo de ciertos tipos de cáncer, como los de estómago, colon, esófago, páncreas y ma",1
2542,2542,"La Cámara de Diputados aprueba una ley para declarar ilegal el futbol en México
Durante años, el balompié ha sido criticado por considerársele una herramienta para mantener al pueblo distraído y enajenado, además de representar un paradigma del consumismo y del rezago intelectual de las masas.
Con tales argumentos, el diputado independiente Sófocles Pacheco logró que fuera aprobada una ley para que este deporte fuera declarado ilegal en todo el territorio mexicano.
En entrevista exclusiva, el diputado Pacheco no dijo: ""Todos sabemos que basta con que haya futbol en la televisión, principalmente cuando juega el América o cuando juega la Selección, y ¡cuas! De un momento a otro, a nadie le importa lo que está pasando en el país. No le importan crisis ni gasolinazos ni aumento en la delincuencia ni nada… Es por ello que presenté esta iniciativa, que afortunadamente fue aprobada por apabullante mayoría"".
— ¿Y cómo logró que toda la cámara diera una respuesta tan inesperada, diputado?
— Fue sencillo. Sólo les dije a los compañeros, unos cinco minutos antes de acabar la sesión, que tenía una importantísima propuesta sobre futbol. 'Siendo de futbol, pues ya sabes que está aprobada', me dijo un priísta. 'Es más, yo pongo mi casa si alguien más pone las botanas', agregó uno del PAN.
El diputado remató afirmando con orgullo: ""¡El sistema funciona!"".",1
1506,1506,"La educación finlandesa es pública y gratuita, para todos y en las mismas condiciones, entre los 7 y los 16 años. Finlandia consiguió al abolir la educación privada generar las condiciones que en el mediano y largo plazo produjeran desigualdades en la soc",0
1975,1975,El partido de Abascal comparó lo que cobra una viuda con un mena. VOX ha compartido en su cuenta de Twitter una imagen en la que comparaba lo que cobra un mena con lo que cobra una viuda. “Un gobierno ue prefiere proteger a los que vienen de fuera que a s,0
465,465,"Inmigrantes soldados nigerianos llevados en avión desde Nigeria a Libia por la OIM de George Soros, como se puede comprobar en el chaleco",1
954,954,Calamar gigante en playas Canarias por los efectos de la tormenta Hercules,1
2557,2557,"Empresarios mexicanos felicitan a López Obrador
""Todos juntos, debemos darle a @LopezObrador_ la oportunidad de demostrar que va a cumplir sus promesas de justicia y honestidad, y como él mismo dice: que no nos va a fallar"", dijo Salinas Pliego.
Los empresarios mexicanos, entre ellos Ricardo Salinas Pliego, felicitaron este *NUMBER* de julio a Andrés Manuel López Obrador (AMLO), candidato de la alianza que lidera Morena, por su triunfo en las elecciones presidenciales, según datos preliminares.
""Por fin se acabó el proceso electoral. La gente escuchó de todo y al final, por amplia mayoría, decidió que @LopezObrador_ era mejor opción para los próximos *NUMBER* años. Así es la democracia, como decía Churchill: la peor forma de gobierno, excepto por todas las demás…Todos juntos, debemos estar listos para recordarle que estas promesas no pueden quedar en el olvido, ni en el basurero del pragmatismo político. Vayamos hacia el futuro con confianza y unidad. Así nos irá mejor y más pronto tendremos un país donde todos seamos prósperos"", escribió Ricardo Salinas Pliego, Fundador y Presidente de Grupo Salinas (Elektra, TV Azteca y Banco Azteca).
Juan Pablo del Valle, presidente del Consejo de Administración de la empresa Mexichem y quien señaló haber votado por Ricardo Anaya, felicitó al candidato tabasqueño, luego de que el aspirante de la coalición del PAN y José Antonio Meade, del PRI, reconocieran la victoria de Obrador.
Por su parte, el empresario y activista Claudio X. González expresó sus buenos deseos a Andrés Manuel López Obrador también a través de Twitter.
Algunos personajes como la empresaria social Patricia Armendáriz Guerra, que se manifestó a favor de López Obrador, reconoció a Meade, quien momentos antes aceptó su derrota en la contienda electoral.
 ""Una vez pasado el proceso electoral debemos mirar al futuro; tengamos fe en nosotros, hay mucho trabajo por hacer"", escribió José Ramón Elizondo, presidente de la compañía Vasconia y quien anteriormente invitó a ejercer el voto de manera razonada y habló sobre las consecuencias de que gane un gobierno populista.
""Felicidades a @lopezobrador_ por triunfar en un proceso electoral históricamente concurrido y que transcurrió en paz, gracias a la voluntad de los mexicanos. Éste es un mandato claro que nos obliga a todos a trabajar juntos y unidos"", añadió Olegario Vázquez, CEO de Grupo Empresarial Ángeles.",0
233,233,El antipapa Francisco ha vuelto a asumir las tesis soristas en el transcurso de una entrevista en el periódico francés La Croix (católicos progresistas). En ella ha pedido a las mujeres europeas que se reproduzcan con los inmigrantes musulmanes para comba,1
